#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1964.00   -0.226326    0.001000    0.082554    0.001000  -2.8470469   0.0001000    0.058299    0.002514    0.007885    0.001000
   1964.05   -0.278863    0.001000    0.140171    0.001000  -2.8872050   0.0001000    0.059102    0.002514    0.007559    0.001000
   1964.10   -0.305957    0.001000    0.210891    0.001000  -2.9260143   0.0001000    0.058229    0.002514    0.007300    0.001000
   1964.15   -0.288675    0.001000    0.277567    0.001000  -2.9620817   0.0001000    0.059614    0.002514    0.006294    0.001000
   1964.20   -0.241773    0.001000    0.333997    0.001000  -3.0019463   0.0001000    0.061160    0.002514    0.005503    0.001000
   1964.25   -0.180073    0.001000    0.384846    0.001000  -3.0440240   0.0001000    0.060824    0.002514    0.004737    0.001000
   1964.30   -0.112361    0.001000    0.426302    0.001000  -3.0821912   0.0001000    0.061726    0.002514    0.003869    0.001000
   1964.35   -0.050480    0.001000    0.453335    0.001000  -3.1241583   0.0001000    0.062064    0.002514    0.003391    0.001000
   1964.40    0.006541    0.001000    0.459445    0.001000  -3.1647598   0.0001000    0.060639    0.002514    0.003829    0.001000
   1964.45    0.065289    0.001000    0.445365    0.001000  -3.1996374   0.0001000    0.059297    0.002514    0.003426    0.001000
   1964.50    0.124090    0.001000    0.415219    0.001000  -3.2202048   0.0001000    0.056600    0.002514    0.004012    0.001000
   1964.55    0.178721    0.001000    0.374891    0.001000  -3.2418486   0.0001000    0.052772    0.002514    0.003884    0.001000
   1964.60    0.222360    0.001000    0.319900    0.001000  -3.2651141   0.0001000    0.051041    0.002514    0.003934    0.001000
   1964.65    0.241938    0.001000    0.245833    0.001000  -3.2870668   0.0001000    0.050006    0.002514    0.003998    0.001000
   1964.70    0.232859    0.001000    0.163613    0.001000  -3.3130923   0.0001000    0.049358    0.002514    0.004250    0.001000
   1964.75    0.203752    0.001000    0.092739    0.001000  -3.3510671   0.0001000    0.050707    0.002514    0.005026    0.001000
   1964.80    0.160684    0.001000    0.043771    0.001000  -3.3937799   0.0001000    0.052556    0.002514    0.005926    0.001000
   1964.85    0.105109    0.001000    0.011840    0.001000  -3.4349334   0.0001000    0.054179    0.002514    0.006289    0.001000
   1964.90    0.042777    0.001000   -0.012589    0.001000  -3.4756130   0.0001000    0.056301    0.002514    0.007607    0.001000
   1964.95   -0.017426    0.001000   -0.021176    0.001000  -3.5176124   0.0001000    0.057385    0.002514    0.007685    0.001000
   1965.00   -0.075557    0.001000   -0.006819    0.001000  -3.5566631   0.0001000    0.057464    0.002514    0.008447    0.001000
   1965.05   -0.135133    0.001000    0.026213    0.001000  -3.5895639   0.0001000    0.058051    0.002514    0.007946    0.001000
   1965.10   -0.187238    0.001000    0.068933    0.001000  -3.6292221   0.0001000    0.058739    0.002514    0.007726    0.001000
   1965.15   -0.222283    0.001000    0.114671    0.001000  -3.6691748   0.0001000    0.057863    0.002514    0.006725    0.001000
   1965.20   -0.241418    0.001000    0.170247    0.001000  -3.7147315   0.0001000    0.059772    0.002514    0.005679    0.001000
   1965.25   -0.238206    0.001000    0.230705    0.001000  -3.7645340   0.0001000    0.060785    0.002514    0.005466    0.001000
   1965.30   -0.214942    0.001000    0.286809    0.001000  -3.8133510   0.0001000    0.060432    0.002514    0.004671    0.001000
   1965.35   -0.185426    0.001000    0.335402    0.001000  -3.8551647   0.0001000    0.060992    0.002514    0.003943    0.001000
   1965.40   -0.153101    0.001000    0.374423    0.001000  -3.8956893   0.0001000    0.059757    0.002514    0.003941    0.001000
   1965.45   -0.105005    0.001000    0.406950    0.001000  -3.9348019   0.0001000    0.057675    0.002514    0.004212    0.001000
   1965.50   -0.034650    0.001000    0.430056    0.001000  -3.9659618   0.0001000    0.055240    0.002514    0.003848    0.001000
   1965.55    0.035130    0.001000    0.432471    0.001000  -3.9950142   0.0001000    0.052912    0.002514    0.004473    0.001000
   1965.60    0.079037    0.001000    0.412688    0.001000  -4.0254576   0.0001000    0.049474    0.002514    0.003924    0.001000
   1965.65    0.106346    0.001000    0.368533    0.001000  -4.0572350   0.0001000    0.049297    0.002514    0.004624    0.001000
   1965.70    0.137719    0.001000    0.306068    0.001000  -4.0954133   0.0001000    0.049303    0.002514    0.004805    0.001000
   1965.75    0.170939    0.001000    0.241015    0.001000  -4.1389790   0.0001000    0.049219    0.002514    0.005032    0.001000
   1965.80    0.192058    0.001000    0.183270    0.001000  -4.1845037   0.0001000    0.052385    0.002514    0.006193    0.001000
   1965.85    0.188129    0.001000    0.136049    0.001000  -4.2303773   0.0001000    0.053227    0.002514    0.007303    0.001000
   1965.90    0.158141    0.001000    0.091134    0.001000  -4.2789768   0.0001000    0.055038    0.002514    0.007551    0.001000
   1965.95    0.110089    0.001000    0.048508    0.001000  -4.3209893   0.0001000    0.056955    0.002514    0.008489    0.001000
   1966.00    0.055907    0.001000    0.019071    0.001000  -4.3602756   0.0001000    0.057575    0.002514    0.008594    0.001000
   1966.05    0.007948    0.001000    0.013027    0.001000  -4.4031404   0.0001000    0.057201    0.002514    0.008716    0.001000
   1966.10   -0.036919    0.001000    0.021765    0.001000  -4.4491436   0.0001000    0.058117    0.002514    0.007615    0.001000
   1966.15   -0.082423    0.001000    0.037233    0.001000  -4.4947086   0.0001000    0.058859    0.002514    0.007668    0.001000
