#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1906.90   -0.000136    0.019450    0.169075    0.016938   0.0002781   0.0000000    0.227438    0.000000    0.019516    0.000000
   1906.95    0.007584    0.021165    0.178292    0.022831   0.0000395   0.0000000    0.228109    0.000000    0.020410    0.000000
   1907.00    0.028732    0.026196    0.195488    0.021825  -0.0001433   0.0000000    0.229504    0.000000    0.020479    0.000000
   1907.05    0.030697    0.023322    0.122727    0.025630   0.0002695   0.0000000    0.229415    0.000000    0.020675    0.000000
   1907.10    0.005822    0.022995    0.058988    0.025121  -0.0000251   0.0000000    0.229316    0.000000    0.020117    0.000000
   1907.15    0.011190    0.017749    0.086005    0.018123  -0.0001115   0.0000000    0.230271    0.000000    0.018909    0.000000
   1907.20    0.025917    0.019149    0.045472    0.018843   0.0001479   0.0000000    0.230832    0.000000    0.017842    0.000000
   1907.25    0.010132    0.017946    0.033986    0.018052  -0.0000638   0.0000000    0.230900    0.000000    0.017094    0.000000
   1907.30    0.037519    0.017417   -0.010283    0.018275  -0.0002070   0.0000000    0.232205    0.000000    0.016631    0.000000
   1907.35   -0.004578    0.016072   -0.015720    0.017205   0.0002067   0.0000000    0.232001    0.000000    0.016617    0.000000
   1907.40   -0.018297    0.016880   -0.015108    0.016663  -0.0000697   0.0000000    0.229964    0.000000    0.016777    0.000000
   1907.45   -0.007082    0.015866   -0.041024    0.017102  -0.0002147   0.0000000    0.228902    0.000000    0.016608    0.000000
   1907.50   -0.041898    0.014404   -0.054233    0.013667   0.0002844   0.0000000    0.225898    0.000000    0.017169    0.000000
   1907.55   -0.039540    0.013422   -0.066708    0.013739  -0.0000722   0.0000000    0.222122    0.000000    0.017345    0.000000
   1907.60   -0.062737    0.013808   -0.045582    0.013722  -0.0000486   0.0000000    0.220831    0.000000    0.016910    0.000000
   1907.65   -0.084772    0.012077   -0.038002    0.012717   0.0002432   0.0000000    0.219072    0.000000    0.017344    0.000000
   1907.70   -0.117691    0.012937   -0.015013    0.013832  -0.0000971   0.0000000    0.218967    0.000000    0.017519    0.000000
   1907.75   -0.156784    0.015292    0.021298    0.013675  -0.0000023   0.0000000    0.220396    0.000000    0.017841    0.000000
   1907.80   -0.189048    0.018047    0.063223    0.014962   0.0000771   0.0000000    0.221393    0.000000    0.019018    0.000000
   1907.85   -0.160439    0.019455    0.122432    0.020631   0.0000036   0.0000000    0.223427    0.000000    0.019649    0.000000
   1907.90   -0.174328    0.021246    0.161420    0.016952  -0.0002249   0.0000000    0.225313    0.000000    0.020531    0.000000
   1907.95   -0.175627    0.024550    0.206590    0.024012   0.0002219   0.0000000    0.225775    0.000000    0.021195    0.000000
   1908.00   -0.097280    0.020958    0.248698    0.019218  -0.0001967   0.0000000    0.225810    0.000000    0.021805    0.000000
   1908.05   -0.103363    0.023339    0.239409    0.021697  -0.0001069   0.0000000    0.227382    0.000000    0.021303    0.000000
   1908.10   -0.059095    0.021136    0.273821    0.020822   0.0002576   0.0000000    0.227207    0.000000    0.021140    0.000000
   1908.15    0.009659    0.021138    0.247626    0.016428  -0.0001791   0.0000000    0.227729    0.000000    0.020079    0.000000
   1908.20    0.090489    0.026765    0.235728    0.018504   0.0001537   0.0000000    0.229298    0.000000    0.018995    0.000000
   1908.25    0.080701    0.018210    0.218227    0.021377   0.0000924   0.0000000    0.229311    0.000000    0.018199    0.000000
   1908.30    0.155919    0.018811    0.162082    0.016704  -0.0000823   0.0000000    0.229464    0.000000    0.017668    0.000000
   1908.35    0.152998    0.016731    0.112610    0.018834  -0.0000533   0.0000000    0.230066    0.000000    0.017404    0.000000
   1908.40    0.173959    0.016318    0.039644    0.016368   0.0001252   0.0000000    0.228840    0.000000    0.017742    0.000000
   1908.45    0.193504    0.015336    0.020837    0.015665  -0.0000787   0.0000000    0.225866    0.000000    0.017983    0.000000
   1908.50    0.183404    0.014039   -0.054457    0.015261  -0.0000477   0.0000000    0.224148    0.000000    0.017758    0.000000
   1908.55    0.151218    0.015404   -0.109366    0.015735   0.0002503   0.0000000    0.221011    0.000000    0.017950    0.000000
   1908.60    0.107922    0.014258   -0.142484    0.017729  -0.0001884   0.0000000    0.218005    0.000000    0.018017    0.000000
   1908.65    0.055398    0.013924   -0.182273    0.015623   0.0000467   0.0000000    0.218110    0.000000    0.017921    0.000000
   1908.70   -0.006809    0.014573   -0.171717    0.013941   0.0001516   0.0000000    0.217375    0.000000    0.018515    0.000000
   1908.75   -0.062121    0.013915   -0.178772    0.014410  -0.0001438   0.0000000    0.218672    0.000000    0.018822    0.000000
   1908.80   -0.121196    0.013584   -0.143240    0.015110   0.0001198   0.0000000    0.220862    0.000000    0.019775    0.000000
   1908.85   -0.198831    0.020561   -0.118798    0.017930   0.0001059   0.0000000    0.221928    0.000000    0.020876    0.000000
   1908.90   -0.257276    0.018705   -0.059722    0.017969  -0.0000479   0.0000000    0.223779    0.000000    0.021433    0.000000
   1908.95   -0.280229    0.025862   -0.002846    0.018205   0.0000230   0.0000000    0.225755    0.000000    0.022009    0.000000
   1909.00   -0.308502    0.026383    0.087001    0.022227   0.0001712   0.0000000    0.225750    0.000000    0.022357    0.000000
   1909.05   -0.341768    0.019583    0.134833    0.020696  -0.0002121   0.0000000    0.225465    0.000000    0.022472    0.000000
   1909.10   -0.251212    0.031113    0.177427    0.021256   0.0000178   0.0000000    0.226839    0.000000    0.021632    0.000000
   1909.15   -0.246524    0.026720    0.259111    0.023841   0.0001832   0.0000000    0.226768    0.000000    0.020912    0.000000
   1909.20   -0.210390    0.025754    0.316769    0.021169  -0.0002617   0.0000000    0.227612    0.000000    0.019739    0.000000
